district,crop_name,disease_name,risk_level,reported_cases,date,recommended_action
Belagavi,Wheat,Stem Rust,Critical,224,2024-01-01,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Madurai,Wheat,Stem Rust,Low,33,2024-01-07,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Karimnagar,Wheat,Leaf Blight,Medium,104,2024-01-07,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Guntur,Wheat,Leaf Blight,Low,22,2024-01-17,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Thanjavur,Wheat,Stem Rust,Medium,105,2024-01-20,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Thanjavur,Wheat,Stem Rust,High,35,2024-01-22,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Cuddalore,Wheat,Stem Rust,Medium,83,2024-01-24,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Thanjavur,Wheat,Leaf Blight,Critical,162,2024-02-02,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Mahbubnagar,Wheat,Leaf Blight,Medium,67,2024-02-13,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Thanjavur,Wheat,Leaf Blight,Critical,125,2024-02-15,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Khammam,Wheat,Stem Rust,Low,11,2024-02-19,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Thanjavur,Wheat,Leaf Blight,Medium,80,2024-02-26,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Coimbatore,Rice,Brown Plant Hopper (BPH),Low,23,2024-06-02,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Sugarcane,Red Rot,Low,12,2024-06-04,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Tumakuru,Cotton,Boll Rot,High,79,2024-06-07,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Nellore,Cotton,Whitefly,Medium,33,2024-06-08,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Karimnagar,Cotton,Pink Bollworm,High,53,2024-06-09,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Nellore,Groundnut,Bud Necrosis,Low,7,2024-06-11,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Guntur,Rice,Brown Plant Hopper (BPH),High,90,2024-06-13,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Kurnool,Cotton,Pink Bollworm,Low,27,2024-06-14,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Kurnool,Sugarcane,Sugarcane Aphids,Low,7,2024-06-18,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Thanjavur,Groundnut,Bud Necrosis,Low,6,2024-06-21,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Tumakuru,Sugarcane,Smut,Low,6,2024-06-22,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Erode,Sugarcane,Sugarcane Aphids,Low,3,2024-06-23,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Shimoga,Sugarcane,Sugarcane Aphids,Low,12,2024-06-24,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Cuddalore,Groundnut,Red Hairy Caterpillar,High,57,2024-06-24,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Anantapur,Cotton,Whitefly,Medium,32,2024-06-24,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Karimnagar,Rice,Blast Disease,Critical,174,2024-06-29,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Kurnool,Sugarcane,Red Rot,Medium,28,2024-06-29,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Madurai,Sugarcane,Red Rot,High,57,2024-06-30,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Dharwad,Sugarcane,Red Rot,High,26,2024-07-03,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Chittoor,Cotton,Pink Bollworm,High,27,2024-07-03,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Thanjavur,Sugarcane,Smut,High,75,2024-07-05,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Khammam,Maize,Turcicum Leaf Blight,Low,17,2024-07-06,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Coimbatore,Maize,Turcicum Leaf Blight,Medium,81,2024-07-07,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Coimbatore,Sugarcane,Sugarcane Aphids,Low,9,2024-07-08,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nizamabad,Maize,Turcicum Leaf Blight,High,57,2024-07-09,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Anantapur,Groundnut,Red Hairy Caterpillar,Medium,22,2024-07-09,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Dharwad,Rice,Brown Plant Hopper (BPH),High,26,2024-07-14,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Kurnool,Rice,Bacterial Leaf Blight,Medium,108,2024-07-18,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Mahbubnagar,Cotton,Boll Rot,Critical,285,2024-07-19,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Karimnagar,Rice,Bacterial Leaf Blight,Critical,248,2024-07-20,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nalgonda,Maize,Turcicum Leaf Blight,Medium,50,2024-07-20,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nizamabad,Groundnut,Red Hairy Caterpillar,Low,10,2024-07-26,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Mahbubnagar,Maize,Fall Armyworm,Low,7,2024-07-29,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Nizamabad,Sugarcane,Smut,Low,29,2024-07-30,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Khammam,Maize,Fall Armyworm,Low,6,2024-07-31,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Kurnool,Groundnut,Tikka Leaf Spot,High,135,2024-08-01,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Guntur,Maize,Fall Armyworm,Low,6,2024-08-02,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Groundnut,Red Hairy Caterpillar,Medium,117,2024-08-02,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Cuddalore,Rice,Blast Disease,Medium,52,2024-08-05,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Tumakuru,Groundnut,Tikka Leaf Spot,Medium,224,2024-08-10,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Mahbubnagar,Rice,Brown Plant Hopper (BPH),High,104,2024-08-12,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Shimoga,Sugarcane,Sugarcane Aphids,Low,4,2024-08-15,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Khammam,Groundnut,Red Hairy Caterpillar,High,44,2024-08-18,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Mahbubnagar,Sugarcane,Red Rot,Critical,164,2024-08-25,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Nizamabad,Maize,Fall Armyworm,Low,12,2024-08-28,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Karimnagar,Maize,Turcicum Leaf Blight,Critical,110,2024-08-30,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nizamabad,Cotton,Boll Rot,High,220,2024-08-30,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Madurai,Maize,Turcicum Leaf Blight,Medium,56,2024-08-31,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Kurnool,Cotton,Pink Bollworm,Low,34,2024-08-31,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Cuddalore,Sugarcane,Smut,Low,6,2024-09-02,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Mandya,Maize,Turcicum Leaf Blight,Low,22,2024-09-03,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mahbubnagar,Cotton,Boll Rot,Critical,219,2024-09-05,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Nellore,Maize,Fall Armyworm,Medium,33,2024-09-07,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Nellore,Cotton,Boll Rot,High,70,2024-09-10,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Guntur,Sugarcane,Sugarcane Aphids,Low,11,2024-09-10,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Cuddalore,Groundnut,Red Hairy Caterpillar,High,103,2024-09-10,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Mahbubnagar,Cotton,Boll Rot,High,218,2024-09-10,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Nalgonda,Rice,Bacterial Leaf Blight,Medium,137,2024-09-12,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Anantapur,Sugarcane,Smut,High,62,2024-09-12,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Shimoga,Cotton,Boll Rot,Medium,209,2024-09-14,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Coimbatore,Groundnut,Tikka Leaf Spot,High,119,2024-09-15,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Cuddalore,Cotton,Boll Rot,High,199,2024-09-16,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Coimbatore,Rice,Bacterial Leaf Blight,Critical,338,2024-09-17,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Anantapur,Groundnut,Bud Necrosis,Low,10,2024-09-21,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Coimbatore,Sugarcane,Smut,Critical,95,2024-09-23,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Anantapur,Maize,Fall Armyworm,Low,10,2024-09-24,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Sugarcane,Smut,Low,27,2024-09-25,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Shimoga,Cotton,Pink Bollworm,Medium,64,2024-09-26,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Khammam,Sugarcane,Smut,High,61,2024-09-29,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nellore,Maize,Turcicum Leaf Blight,Low,30,2024-09-30,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Khammam,Maize,Fall Armyworm,Medium,23,2024-10-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Cotton,Pink Bollworm,Low,14,2024-10-07,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Coimbatore,Rice,Brown Plant Hopper (BPH),Medium,17,2024-10-09,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Maize,Turcicum Leaf Blight,Medium,96,2024-10-14,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Karimnagar,Cotton,Pink Bollworm,Low,9,2024-10-17,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Chittoor,Rice,Bacterial Leaf Blight,High,104,2024-10-18,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nalgonda,Maize,Fall Armyworm,Medium,33,2024-10-19,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Sugarcane,Smut,Medium,91,2024-10-21,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Guntur,Sugarcane,Red Rot,Low,16,2024-10-23,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Shimoga,Rice,Bacterial Leaf Blight,High,75,2024-10-26,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Shimoga,Maize,Fall Armyworm,Low,11,2024-10-30,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Rice,Blast Disease,Critical,204,2024-11-02,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Nalgonda,Groundnut,Tikka Leaf Spot,High,144,2024-11-02,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Anantapur,Wheat,Leaf Blight,Medium,26,2024-11-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Guntur,Wheat,Leaf Blight,High,52,2024-11-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Erode,Sugarcane,Red Rot,High,96,2024-11-05,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Nizamabad,Wheat,Leaf Blight,Medium,106,2024-11-06,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Mandya,Maize,Turcicum Leaf Blight,Medium,108,2024-11-07,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mahbubnagar,Groundnut,Red Hairy Caterpillar,High,58,2024-11-07,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Kurnool,Wheat,Stem Rust,Medium,67,2024-11-09,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Nellore,Groundnut,Bud Necrosis,Low,12,2024-11-10,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Cuddalore,Maize,Turcicum Leaf Blight,Medium,81,2024-11-12,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nizamabad,Cotton,Boll Rot,High,224,2024-11-15,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Mahbubnagar,Groundnut,Tikka Leaf Spot,High,247,2024-11-16,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Nalgonda,Cotton,Whitefly,Low,3,2024-11-16,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Mahbubnagar,Maize,Fall Armyworm,Low,11,2024-11-18,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Shimoga,Cotton,Whitefly,Medium,39,2024-11-18,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Mandya,Cotton,Pink Bollworm,Medium,66,2024-11-22,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Karimnagar,Wheat,Leaf Blight,Low,22,2024-11-24,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Nizamabad,Sugarcane,Red Rot,Medium,112,2024-11-26,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Dharwad,Sugarcane,Red Rot,Low,29,2024-11-26,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
